Market,Order Region,Category Name,Shipping Mode,total_orders,avg_days_variance,late_delivery_rate_pct,cancellation_rate_pct,total_sales,total_profit,total_losses
Pacific Asia,West Asia,Women's Apparel,Standard Class,433,-0.1,33.95,2.77,64600,5143.98,-8002.63
Pacific Asia,Oceania,Camping & Hiking,Standard Class,428,0,39.72,0.7,128391.44,11914.6,-14644.43
USCA,East of USA,Fishing,Standard Class,427,0.1,41.22,1.87,170791.46,22423.85,-15117.19
USCA,US Center,Women's Apparel,Standard Class,425,0.1,39.76,2.59,62650,8488.54,-5073.44
Europe,Northern Europe,Cardio Equipment,Standard Class,419,0.1,38.9,2.15,125277.51,15587.4,-10893
Pacific Asia,Eastern Asia,Women's Apparel,Standard Class,419,-0,36.04,1.19,62200,6297.01,-6830.21
Europe,Southern Europe,Camping & Hiking,Standard Class,415,0,39.04,2.17,124491.7,17676.87,-9894.91
Pacific Asia,South Asia,Indoor/Outdoor Games,Standard Class,414,-0.1,35.75,1.93,59826.06,6636.53,-5964.39
Europe,Western Europe,Fishing,First Class,414,1,95.65,1.69,165591.72,20962,-14959.32
Europe,Western Europe,Indoor/Outdoor Games,First Class,413,1,95.4,1.45,63074.76,7477.47,-5854.7
Pacific Asia,Southeast Asia,Water Sports,Standard Class,407,-0.1,36.61,4.18,81395.93,4687.33,-11261.46
Pacific Asia,Eastern Asia,Fishing,Standard Class,403,-0.1,35.98,1.74,161191.94,13930.87,-18926.69
LATAM,Caribbean,Camping & Hiking,Standard Class,401,0,37.41,2.99,120291.98,9779.37,-15077.5
Europe,Western Europe,Camping & Hiking,Second Class,393,1.9,73.79,1.27,117892.14,8403.22,-15662.47
Pacific Asia,South Asia,Fishing,Standard Class,392,-0.1,34.95,2.3,156792.16,16791.08,-15909.21
Pacific Asia,Oceania,Cardio Equipment,Standard Class,391,-0,37.08,0.51,112958.79,10094.87,-13731.98
USCA,US Center,Indoor/Outdoor Games,Standard Class,391,-0.1,34.78,1.79,58876.44,6565.98,-6485.16
Pacific Asia,Southeast Asia,Camping & Hiking,Standard Class,390,0.1,42.56,1.54,116992.2,13426.61,-10828.43
Pacific Asia,West Asia,Indoor/Outdoor Games,Standard Class,390,0.1,39.49,2.05,59226.3,6455.62,-6307.41
LATAM,Central America,Cardio Equipment,Second Class,387,2,75.19,2.07,120418.05,14860.52,-10994.79
LATAM,South America,Cleats,Second Class,384,2.1,78.39,2.34,67728.71,9017.12,-5966.42
LATAM,Central America,Water Sports,First Class,383,1,96.61,1.31,76596.17,7594.84,-7815.41
LATAM,Caribbean,Cardio Equipment,Standard Class,382,0,38.22,1.57,109129.2,13144.15,-10758.14
USCA,West of USA,Camping & Hiking,Standard Class,382,-0.2,33.25,1.05,114592.36,13962.73,-10506.07
Europe,Western Europe,Cardio Equipment,Second Class,381,2,77.17,1.57,115058.55,8112.87,-15118.32
USCA,East of USA,Water Sports,Standard Class,373,0,40.75,2.14,74596.27,7528.23,-7931.36
LATAM,South America,Men's Footwear,Second Class,371,2,72.51,2.43,48226.29,6929.32,-3931.16
Europe,Western Europe,Water Sports,First Class,370,1,93.78,2.43,74746.3,8819.53,-6860.41
Europe,Southern Europe,Cardio Equipment,Standard Class,362,-0.1,36.19,1.66,106919.34,14582.6,-8414.24
LATAM,South America,Women's Apparel,Second Class,360,1.9,71.67,4.17,55000,4892.46,-6670.1
LATAM,Central America,Camping & Hiking,First Class,359,1,95.26,0.84,107692.82,5898.69,-16522.09
USCA,US Center,Fishing,Standard Class,350,0,35.43,1.43,139993,15007.13,-14255.56
USCA,East of USA,Camping & Hiking,Standard Class,349,0.1,40.97,1.43,104693.02,10576.47,-12276.45
USCA,West of USA,Cardio Equipment,Standard Class,349,-0.1,35.53,2.29,104339.64,9075.32,-13506.12
LATAM,Central America,Shop By Sport,Second Class,345,1.9,74.2,2.61,41519.8,4666.62,-3999.97
LATAM,Central America,Cardio Equipment,First Class,340,1,94.71,2.65,100100.04,11653.01,-8893.23
Europe,Western Europe,Shop By Sport,Second Class,336,2.2,82.44,0.89,40840.17,3677.6,-4588.53
USCA,South of  USA,Cleats,Standard Class,334,0,39.22,2.99,59270.12,6373.02,-7104.03
Africa,West Africa,Cleats,Standard Class,331,0.1,39.27,1.21,61009.83,7898.04,-5318.95
Pacific Asia,West Asia,Fishing,Standard Class,331,-0.1,36.56,3.02,132393.38,13866.54,-14225.91
Pacific Asia,Oceania,Shop By Sport,Standard Class,331,0,40.79,0.91,38450.61,3096.41,-4735.61
Europe,Eastern Europe,Cleats,Standard Class,330,-0,36.67,3.03,61249.79,7443.66,-5967.86
Pacific Asia,Eastern Asia,Water Sports,Standard Class,327,0,40.37,1.83,65396.73,7512.55,-7166.98
Europe,Northern Europe,Shop By Sport,Standard Class,325,0,41.23,2.46,38870.63,4278.21,-4269.6
Pacific Asia,South Asia,Camping & Hiking,Standard Class,324,0.1,41.98,1.54,97193.52,10927.94,-10262.82
USCA,South of  USA,Men's Footwear,Standard Class,320,-0.1,35.31,4.69,41596.8,5190.37,-4002.11
LATAM,Caribbean,Shop By Sport,Standard Class,318,0.1,37.42,2.2,37610.94,3497.87,-4187.88
Europe,Southern Europe,Shop By Sport,Standard Class,314,0,37.58,1.91,38280.66,4511.77,-3955.94
USCA,East of USA,Cardio Equipment,Standard Class,313,-0.1,33.87,1.6,93460.71,10298.7,-10976.53
LATAM,South America,Cleats,First Class,312,1,93.91,4.17,53811.03,6673.47,-5014.49
Pacific Asia,West Asia,Water Sports,Standard Class,312,-0,35.9,0.96,62396.88,7343.53,-6320.11
Pacific Asia,South Asia,Water Sports,Standard Class,310,0.1,43.23,2.26,61996.9,6404.8,-6760.57
Pacific Asia,Southeast Asia,Cardio Equipment,Standard Class,307,-0.1,35.18,2.93,90771,11097.18,-8601.8
Europe,Eastern Europe,Men's Footwear,Standard Class,303,0.1,39.93,2.97,39386.97,3954.11,-4393.78
LATAM,Central America,Electronics,Standard Class,297,0,39.39,1.01,35320.33,4623.77,-2867.15
LATAM,South America,Indoor/Outdoor Games,Second Class,297,2,80.47,1.68,43232.7,5745.05,-3123.29
USCA,West of USA,Shop By Sport,Standard Class,296,0,36.15,1.01,35911.2,3694.09,-3809.05
USCA,South of  USA,Women's Apparel,Standard Class,293,0.1,39.93,2.39,43800,5520.06,-4190.85
Europe,Western Europe,Camping & Hiking,First Class,291,1,95.19,2.41,87294.18,9194.87,-8808.62
Europe,Eastern Europe,Women's Apparel,Standard Class,288,0,38.54,2.43,43800,5876.61,-4150.81
Africa,West Africa,Women's Apparel,Standard Class,286,-0,36.36,1.4,41250,3277.72,-5648.92
Europe,Western Europe,Cardio Equipment,First Class,284,1,95.77,2.46,81901.86,4731.52,-11997.87
Europe,Western Europe,Shop By Sport,First Class,283,1,94.35,2.12,35441.38,2873.97,-4330.23
LATAM,South America,Men's Footwear,First Class,282,1,92.2,4.26,36657.18,3965.2,-4129.93
USCA,US Center,Water Sports,Standard Class,282,0.1,40.43,1.42,56397.18,5898.66,-5802.56
Pacific Asia,South Asia,Cardio Equipment,Standard Class,280,-0.1,36.79,2.5,82961.76,9812.48,-8232.03
Pacific Asia,Southeast Asia,Shop By Sport,Standard Class,279,0,40.86,2.51,32012.19,1875.41,-4856.26
LATAM,South America,Women's Apparel,First Class,278,1,92.09,6.12,43250,4059.89,-5182.64
Africa,North Africa,Cleats,Standard Class,278,0,36.69,1.8,50151.64,4538.43,-5884.23
Africa,West Africa,Men's Footwear,Standard Class,276,0,36.96,2.17,35877.24,4804.35,-3235.46
LATAM,Central America,Shop By Sport,First Class,274,1,97.81,1.09,34101.69,3780.21,-4068.95
Europe,Eastern Europe,Indoor/Outdoor Games,Standard Class,274,0.1,40.15,1.09,43482.6,4235.41,-4567.14
USCA,US Center,Camping & Hiking,Standard Class,269,0.1,37.92,2.23,80694.62,8223,-9735.91
Pacific Asia,Oceania,Cleats,Second Class,268,1.9,77.24,1.12,49551.74,2943.03,-6921.13
USCA,East of USA,Shop By Sport,Standard Class,266,0.1,40.23,1.88,31722.33,3535.19,-3104.69
LATAM,South America,Water Sports,Second Class,265,1.9,73.21,2.64,52997.35,5824.77,-6183.71
Pacific Asia,West Asia,Camping & Hiking,Standard Class,265,-0.1,37.36,3.02,79494.7,7979.59,-7604.43
USCA,West of USA,Cleats,Second Class,261,2,77.39,1.15,47992,2267.43,-7427.61
Pacific Asia,Eastern Asia,Cardio Equipment,Standard Class,261,0,38.31,3.45,76232.43,8415.39,-7556.66
Pacific Asia,West Asia,Cardio Equipment,Standard Class,260,0.1,42.69,2.31,75262.56,6641.95,-8155.84
Africa,North Africa,Men's Footwear,Standard Class,259,0.1,43.63,1.54,33667.41,3261.98,-3922.73
LATAM,South America,Camping & Hiking,Second Class,257,2.1,79.38,0.39,77094.86,9156.27,-6617.66
Europe,Northern Europe,Men's Footwear,Second Class,257,1.9,79.77,0.39,33407.43,3356.92,-3339.26
Pacific Asia,Eastern Asia,Camping & Hiking,Standard Class,255,-0.2,34.9,1.96,76494.9,8711.03,-7915.68
Africa,West Africa,Indoor/Outdoor Games,Standard Class,255,0.1,40.39,0.78,39234.3,5317.25,-2656.95
Pacific Asia,South Asia,Shop By Sport,Standard Class,252,-0,39.68,1.98,30392.58,3510.53,-2814.45
LATAM,South America,Fishing,First Class,251,1,92.83,3.59,100394.98,14165.73,-7783.09
USCA,South of  USA,Indoor/Outdoor Games,Standard Class,251,0,38.25,1.2,35535.78,1895.23,-5025.63
Pacific Asia,Eastern Asia,Shop By Sport,Standard Class,247,-0.1,35.22,2.02,28633.08,2665.4,-3227.86
LATAM,South America,Fishing,Second Class,244,2.3,79.1,1.23,97595.12,12484.38,-8906.72
LATAM,Caribbean,Cleats,Second Class,240,1.9,75.42,2.5,43672.72,6723.77,-2974.93
USCA,South of  USA,Fishing,Standard Class,240,-0.1,39.17,2.92,95995.2,11630.18,-9540.75
LATAM,South America,Indoor/Outdoor Games,First Class,238,1,92.02,4.62,35835.66,3656.06,-4262.68
Europe,Northern Europe,Cleats,Second Class,235,2,74.89,2.98,43732.71,4668.63,-4455.22
Europe,Eastern Europe,Fishing,Standard Class,234,0.2,42.74,1.71,93595.32,8117.76,-11423.27
Europe,Northern Europe,Women's Apparel,Second Class,232,1.9,71.98,1.29,35150,2624.88,-4621.98
Pacific Asia,Oceania,Men's Footwear,Second Class,232,1.9,77.16,2.59,30157.68,5047.27,-1797.03
Europe,Southern Europe,Cleats,Second Class,231,1.8,72.29,1.73,38813.69,3710.71,-4193.25
LATAM,South America,Water Sports,First Class,228,1,95.18,3.07,45597.72,5157.66,-4571.41
Africa,West Africa,Fishing,Standard Class,227,0.1,40.09,0.88,90795.46,13319.84,-7658.93
USCA,South of  USA,Water Sports,Standard Class,226,0.1,40.71,3.54,45197.74,3075.93,-6001.64
Pacific Asia,West Asia,Shop By Sport,Standard Class,222,-0.1,35.59,4.05,24763.98,2838.07,-2107.62
USCA,West of USA,Men's Footwear,Second Class,220,2,79.09,2.27,28597.8,2133.03,-3773.61
Africa,North Africa,Women's Apparel,Standard Class,219,0,35.16,1.83,32150,3814.81,-3383.72
Pacific Asia,Southeast Asia,Cleats,Second Class,218,2,74.77,2.75,38033.66,4849.36,-3087.22
Africa,North Africa,Indoor/Outdoor Games,Standard Class,216,0.1,38.89,1.85,33236.7,3844.47,-3196.75
Europe,Northern Europe,Indoor/Outdoor Games,Second Class,209,1.9,76.56,2.39,32586.96,4662.47,-2626.95
Europe,Southern Europe,Men's Footwear,Second Class,209,2.1,80.38,1.44,27167.91,3172.56,-2718.76
LATAM,Central America,Cleats,Same Day,208,0.5,44.23,3.37,39893.35,5150.02,-3557.93
LATAM,South America,Cardio Equipment,Second Class,208,1.7,65.87,3.37,64223.61,6717.26,-7473.37
Europe,Western Europe,Cleats,Same Day,206,0.4,42.72,3.4,37073.82,3501.84,-4660.6
USCA,US Center,Cardio Equipment,Standard Class,205,0,37.07,2.93,61033.92,6382.1,-6895.81
Africa,West Africa,Water Sports,Standard Class,205,-0.1,31.22,1.46,40997.95,5760.79,-3441.97
Europe,Northern Europe,Cleats,First Class,204,1,96.08,1.47,36713.96,2657.88,-4870.97
Pacific Asia,South Asia,Cleats,Second Class,200,2.1,80.5,1.5,34854.19,4677.01,-3157.73
USCA,US Center,Shop By Sport,Standard Class,199,-0,38.69,3.52,22234.65,1603.56,-3001.83
Europe,Western Europe,Children's Clothing,Standard Class,198,0,37.88,1.52,70705.8,8579.12,-6582.74
LATAM,Caribbean,Men's Footwear,Second Class,198,2.1,75.76,3.54,25738.02,2162.12,-3493.2
Pacific Asia,Oceania,Women's Apparel,Second Class,198,1.9,75.25,1.52,29100,2381.09,-3512.6
Europe,Western Europe,Electronics,Standard Class,196,0,39.29,2.04,24129.93,2893.04,-2738.94
LATAM,Caribbean,Indoor/Outdoor Games,Second Class,196,2,78.57,2.04,28838.46,3076.31,-2841.39
Europe,Southern Europe,Cleats,First Class,194,1,98.45,0,34614.27,5464.32,-2265.19
Europe,Southern Europe,Women's Apparel,Second Class,193,2.1,76.68,2.59,29200,4768.43,-1596.05
Pacific Asia,Southeast Asia,Cleats,First Class,190,1,93.16,4.74,35214.13,5680.88,-2076.09
Europe,Western Europe,Men's Footwear,Same Day,189,0.5,44.44,2.12,24568.11,2838.37,-2607.51
USCA,West of USA,Women's Apparel,Second Class,189,2,75.66,3.17,29550,3961.66,-2718.08
USCA,US Center,Cleats,Second Class,187,1.9,75.4,0.53,35754.04,4519.52,-3392.15
Europe,Northern Europe,Fishing,Second Class,187,2,76.47,2.14,74796.26,6725.4,-9035.97
USCA,South of  USA,Camping & Hiking,Standard Class,187,-0,35.29,3.74,56096.26,7757.03,-4372.96
Europe,Eastern Europe,Camping & Hiking,Standard Class,186,0,41.4,0,55796.28,7080.56,-5279.57
Europe,Southern Europe,Men's Footwear,First Class,186,1,97.85,1.08,24178.14,2222.96,-2932.08
Africa,North Africa,Fishing,Standard Class,185,-0.3,27.57,2.7,73996.3,8139.19,-7628.72
Pacific Asia,Southeast Asia,Women's Apparel,Second Class,185,2,79.46,1.08,27700,2078.87,-3335.79
Europe,Northern Europe,Men's Footwear,First Class,185,1,93.51,4.32,24048.15,3274.96,-2195.82
Africa,North Africa,Water Sports,Standard Class,184,-0.2,30.98,2.17,36798.16,5708.53,-2333.66
LATAM,Central America,Men's Footwear,Same Day,182,0.4,39.56,1.65,23658.18,3116.47,-1771.11
Pacific Asia,Oceania,Fishing,Second Class,179,1.9,81.56,1.68,71596.42,7730.22,-7778.53
USCA,West of USA,Indoor/Outdoor Games,Second Class,179,2,77.65,1.12,26189.52,1536.34,-4128.79
Africa,East Africa,Cleats,Standard Class,179,0.1,40.78,3.91,31674.72,2913.61,-3471.23
Africa,West Africa,Camping & Hiking,Standard Class,178,-0.1,34.27,2.81,53396.44,6127.17,-5672.6
USCA,East of USA,Cleats,Second Class,178,2.1,78.65,2.81,32094.65,2714.1,-3551.99
LATAM,Central America,Indoor/Outdoor Games,Same Day,178,0.6,52.81,1.12,27089.16,2302.56,-3342.77
LATAM,South America,Shop By Sport,Second Class,178,2,72.47,1.69,21654.83,2792.21,-1786.74
Europe,Eastern Europe,Water Sports,Standard Class,177,0.1,41.24,2.26,35398.23,4602.13,-2923.95
Pacific Asia,Southeast Asia,Men's Footwear,First Class,175,1,94.29,2.29,22748.25,1984.63,-2528.25
LATAM,Caribbean,Fishing,Second Class,175,2.1,77.71,1.71,69996.5,7609.55,-7536.81
Pacific Asia,Oceania,Indoor/Outdoor Games,Second Class,174,2,78.74,1.15,26289.48,3184.65,-2401.74
LATAM,Caribbean,Women's Apparel,Second Class,173,2,77.46,2.31,25500,2767.76,-2837.42
USCA,South of  USA,Cardio Equipment,Standard Class,173,0.2,43.35,4.62,47105.34,2761.64,-6573.19
Pacific Asia,South Asia,Men's Footwear,Second Class,172,2.1,78.49,0.58,22358.28,2884.78,-1922.21
LATAM,South America,Camping & Hiking,First Class,170,1,94.71,2.94,50996.6,8004.12,-3250.79
Pacific Asia,West Asia,Men's Footwear,Second Class,170,1.8,72.35,2.94,22098.3,2236.91,-2582.6
USCA,East of USA,Men's Footwear,Second Class,170,2.1,74.71,5.88,22098.3,2633.18,-1992.7
USCA,West of USA,Fishing,Second Class,170,1.9,74.71,2.94,67996.6,7304.34,-7782.43
Pacific Asia,Southeast Asia,Men's Footwear,Second Class,169,1.9,75.15,0,21968.31,2422.83,-1983.43
Europe,Eastern Europe,Cardio Equipment,Standard Class,169,0.1,39.05,1.18,50155.05,3876.86,-6019.96
LATAM,Central America,Women's Apparel,Same Day,168,0.5,49.4,3.57,25450,2795.96,-2145.64
Europe,Southern Europe,Indoor/Outdoor Games,First Class,168,1,95.24,1.79,26289.48,3414.19,-2758.72
LATAM,South America,Cardio Equipment,First Class,166,1,93.98,3.01,48125.22,7146.4,-3142.46
Pacific Asia,West Asia,Cleats,Second Class,165,1.9,73.94,2.42,28855.19,975.35,-4952.4
Europe,Western Europe,Women's Apparel,Same Day,165,0.5,51.52,2.42,24950,3491.95,-1976.69
Pacific Asia,Southeast Asia,Video Games,Standard Class,165,0,40.61,3.64,6558.75,451.24,-797.03
Pacific Asia,Southeast Asia,Indoor/Outdoor Games,Second Class,164,1.8,70.12,1.22,23590.56,1499.24,-3125.43
Europe,Northern Europe,Water Sports,Second Class,163,2,79.75,1.23,32748.37,4638.9,-2503.74
